Entity,Year,Wind (% growth),Oil (% growth),Hydro (% growth),Solar (% growth),Bioenergy (% growth),Bioenergy Price,Hydropower Price,Wind Price,Solar Price,Crude Oil Price
Africa,2000,786.3637,0.24431944,6.4755797,0,0,0,0,0,0,0
Africa,2001,136.79771,1.0738134,7.457578,25.887024,0,0,0,0,0,0
Africa,2002,6.7385435,2.377987,5.1416993,9.813511,0,0,0,0,0,0
Africa,2003,20.743525,3.0442476,-2.883017,18.25087,0,0,0,0,0,0
Africa,2004,43.443417,4.675162,5.6239605,20.82733,0,0,0,0,0,0
Africa,2005,1.5758157,4.412389,1.8545032,18.405521,0,0,0,0,0,0
Africa,2006,9.254217,0.9483218,3.6157012,28.42809,0,0,0,0,0,0
Africa,2007,19.20221,3.8654804,3.4218907,26.739025,0,0,0,0,0,0
Africa,2008,29.083979,5.010605,1.8574476,40.748344,0,0,0,0,0,0
Africa,2009,21.163034,3.591454,2.6738286,32.960796,0,0,0,0,0,0
Africa,2010,43.733524,4.2746067,8.154297,136.84137,0,0,0,0,0,0
Africa,2011,4.512489,-1.5551448,2.8328896,189.3792,0,0,0,0,0,0
Africa,2012,5.4330587,6.4348936,0.13929605,61.546635,0,0,0,0,0,0
Africa,2013,42.822266,3.7735105,5.7067633,-22.228067,0,0,0,0,0,0
Africa,2014,40.789318,1.0264277,5.695915,150.35251,0,0,0,0,0,0
Africa,2015,76.0651,2.7195811,-2.5444925,91.03308,0,0,0,0,0,0
Africa,2016,25.420677,0.8615017,-1.3875008,48.306,0,0,0,0,0,0
Africa,2017,21.787405,1.9639015,5.1885247,31.13823,0,0,0,0,0,0
Africa,2018,8.450306,1.5094638,7.0736766,20.67095,0,0,0,0,0,0
Africa,2019,30.605936,-0.18737912,3.2658815,32.31889,0,0,0,0,0,0
Africa,2020,-0.8910775,-10.450095,6.629765,37.289192,0,0,0,0,0,0
Africa,2021,20.134735,9.10418,3.2669067,14.619648,0,0,0,0,0,0
Africa,2022,6.0083866,5.304253,2.4703145,2.5803804,0,0,0,0,0,0
Africa (EI),2000,786.3637,0.24430752,6.4755797,0,0.06880472,0,0,0,0,0
Africa (EI),2001,136.79771,1.0738134,7.45759,25.887024,0.068616726,0,0,0,0,0
Africa (EI),2002,6.7385316,2.3779988,5.1416993,9.813499,0.24095868,0,0,0,0,0
Africa (EI),2003,20.743538,3.0442476,-2.883023,18.250883,0.25171602,0,0,0,0,0
Africa (EI),2004,43.443417,4.675162,5.6239724,20.827341,0.28782016,0,0,0,0,0
Africa (EI),2005,1.5758157,4.412389,1.8545032,18.405521,0.2943336,0,0,0,0,0
Africa (EI),2006,9.254217,0.9483218,3.6156893,28.42809,0.35644427,0,0,0,0,0
Africa (EI),2007,19.20221,3.8654804,3.4218907,26.739025,0.34569514,0,0,0,0,0
Africa (EI),2008,29.083967,5.010605,1.8574476,40.748344,0.37789977,0,0,0,0,0
Africa (EI),2009,21.163046,3.591454,2.6738286,32.960796,0.5937582,0,0,0,0,0
Africa (EI),2010,43.733524,4.2746067,8.154308,136.84137,0.8238056,0,0,0,0,0
Africa (EI),2011,4.512489,-1.5551507,2.8328896,189.3792,1.1333025,0,0,0,0,0
Africa (EI),2012,5.4330587,6.4348936,0.13929605,61.546623,1.0127014,0,0,0,0,0
Africa (EI),2013,42.822266,3.7735105,5.7067633,-22.228062,1.3421129,0,0,0,0,0
Africa (EI),2014,40.789307,1.0264277,5.695915,150.35251,1.4787772,0,0,0,0,0
Africa (EI),2015,76.06511,2.7195811,-2.5444984,91.03308,1.3343786,0,0,0,0,0
Africa (EI),2016,25.420677,0.8614898,-1.3874948,48.306,1.2191873,0,0,0,0,0
Africa (EI),2017,21.787405,1.9639134,5.1885247,31.13823,1.1253604,0,0,0,0,0
Africa (EI),2018,8.450306,1.5094638,7.0736885,20.670963,0.8885909,0,0,0,0,0
Africa (EI),2019,30.605936,-0.18737912,3.2658696,32.31888,0.9744527,0,0,0,0,0
Africa (EI),2020,-0.8910775,-10.450095,6.629765,37.289192,0.9650717,0,0,0,0,0
Africa (EI),2021,20.134735,9.104193,3.2669067,14.619648,0.99168396,0,0,0,0,0
Africa (EI),2022,6.0083985,5.304241,2.4703145,2.5803924,1.0642542,0,0,0,0,0
Algeria,2015,1799.9998,6.409073,-24.870468,-3.333336,0,0,0,0,0,0
Algeria,2016,0.2739787,-2.788347,-50.344826,322.41382,0,0,0,0,0,0
Algeria,2017,-0.2732277,-1.764965,-22.222216,105.71427,0,0,0,0,0,0
Algeria,2018,-47.36842,1.0082722,108.92856,19.642853,0,0,0,0,0,0
Algeria,2019,0,4.023683,29.914522,1.990056,0,0,0,0,0,0
Algeria,2020,-22.999996,-10.561609,-67.368416,11.382114,0,0,0,0,0,0
Algeria,2021,36.363636,4.3780804,-81.25,-3.0656993,0,0,0,0,0,0
Algeria,2022,52.380966,2.554071,72.043015,-2.259034,0,0,0,0,0,0
Argentina,2000,-0.06612539,-7.7214837,33.54919,38.46154,0.053206038,0,0,0,0,0
Argentina,2001,42.013348,-7.3939743,28.013527,19.444443,0.10612133,0,0,0,0,0
Argentina,2002,48.710514,-5.086577,-2.1906376,9.30233,0.10612133,0,0,0,0,0
Argentina,2003,6.1971307,1.9898057,-5.5291357,38.297867,0.10612133,0,0,0,0,0
Argentina,2004,-7.0657015,7.235348,-9.876084,7.692313,0.106412075,0,0,0,0,0
Argentina,2005,-1.0025978,4.703057,12.322521,15.714275,0.10612133,0,0,0,0,0
Argentina,2006,-2.8997064,5.4977417,11.103165,11.111116,0.35267237,0,0,0,0,0
Argentina,2007,-11.555147,11.120129,-17.874586,21.000004,2.0078583,0,0,0,0,0
Argentina,2008,-31.889862,1.1474371,-0.065517426,31.955921,7.112291,0,0,0,0,0
Argentina,2009,-12.203622,-4.480714,10.956812,-47.05359,11.965088,0,0,0,0,0
Argentina,2010,-31.168736,8.412433,-3.634733,12.888395,19.893946,0,0,0,0,0
Argentina,2011,4.8870444,3.8102388,-6.5137444,1779.1477,25.844816,0,0,0,0,0
Argentina,2012,1290.9528,6.0602784,-6.485182,406.3796,26.502539,0.0614693,0.0609687,0.08931815,0.0837306,637.28253
Argentina,2013,22.574066,6.121409,12.367737,84.43828,23.838686,0.0614693,0.0609687,0.08987015,0.0837306,637.28253
Argentina,2014,36.645935,-0.69639087,-1.0822952,5.7709813,30.584425,0.0614693,0.0609687,0.08231665,0.0837306,637.28253
Argentina,2015,-4.2221785,2.077949,-0.24439096,-7.9089346,23.461845,0.0614693,0.0609687,0.08006615,0.0837306,637.28253
Argentina,2016,-7.748741,-3.069812,-7.99284,-2.7923465,32.768284,0,0,0,0,0
Argentina,2017,11.730516,-1.1778474,6.1893225,15.021372,36.231873,0.0614693,0.0609687,0.08269015,0.0837306,637.28253
Argentina,2018,131.00378,-4.536426,2.166164,558.6465,31.703428,0.0614693,0.0609687,0.06659165,0.0837306,637.28253
Argentina,2019,253.63591,-9.247267,-14.790463,639.5708,28.55003,0.0614693,0.0609687,0.06330315,0.0837306,637.28253
Argentina,2020,88.36473,-10.4518175,-13.942456,68.10822,16.743963,0.0614693,0.0609687,0.06712115,0.0837306,637.28253
Argentina,2021,37.47791,21.75461,-16.990906,63.841713,23.7799,0.0614693,0.0609687,0.06600865,0.0837306,637.28253
Argentina,2022,9.48745,17.360138,15.887547,33.48105,26.592962,0.0614693,0.0609687,0.05658265,0.0837306,637.28253
Asia,2000,17.385483,4.06245,3.0207634,54.803074,0.99766845,0,0,0,0,0
Asia,2001,34.326756,0.93997717,7.9332113,45.280636,1.0823115,0,0,0,0,0
Asia,2002,8.428574,2.4672031,3.575182,39.132023,2.8769586,0,0,0,0,0
Asia,2003,32.38945,4.020846,3.9117932,36.726524,6.005394,0,0,0,0,0
Asia,2004,77.37813,6.350577,17.80305,32.10354,6.2765636,0,0,0,0,0
Asia,2005,25.787651,1.8343925,3.620398,27.133322,10.155068,0,0,0,0,0
Asia,2006,56.651733,2.71672,10.067951,23.997509,16.488941,0,0,0,0,0
