UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency,Brand
1,Vacuum Cleaner,5,2,1,4,36,1,Electrolux
2,Air Conditioner,7,9,1,0,29,1,Haier
3,Dishwasher,6,3,1,0,20,1,KitchenAid
4,Induction,2,2,0,3,15,0,Bosch
5,Dishwasher,8,5,1,3,36,1,Bosch
6,Thermostat,1,5,1,0,3,1,Johnson Controls
7,Air Conditioner,7,2,0,0,56,0,Daikin
8,Washing Machine,8,3,0,0,53,0,Voltas Beko
9,Smart Speaker,2,2,1,2,23,1,Bose
10,Fridge,6,7,1,4,58,0,Haier
12,Induction,3,5,0,3,46,0,Kenmore
13,Washing Machine,4,7,1,1,9,1,Bosch
14,Microwave,5,7,0,2,30,0,IFB
15,Dishwasher,7,1,0,0,19,1,Bosch
16,Dishwasher,5,10,1,0,38,1,GE Appliances
17,Thermostat,4,8,1,2,3,1,Schneider Electric
18,Camera,7,2,0,3,50,0,Leica
19,Camera,8,2,1,0,48,1,Samsung
21,Fan,8,1,1,3,34,1,Crompton Greaves
22,Smart Speaker,1,8,1,4,2,0,Amazon Echo
23,Smart Speaker,7,5,1,2,58,1,Sony
24,Fan,2,8,0,3,27,0,Anchor Electricals
25,Camera,1,7,0,4,23,0,Fujifilm
26,Security System,4,6,1,1,42,0,Matrix Comsec
27,Thermostat,5,7,1,2,32,1,Honeywell
28,Vacuum Cleaner,3,0,1,0,47,1,Dyson
29,Fan,1,3,0,0,35,0,Crompton Greaves
30,Smart Speaker,5,6,0,4,40,0,Harman Kardon
31,Fridge,7,0,0,3,18,0,Whirlpool
32,Camera,3,0,0,1,27,0,Olympus
33,Security System,2,9,1,4,11,0,Secureye
34,Induction,4,7,1,1,39,0,Kenmore
35,Vacuum Cleaner,1,3,0,1,19,0,Kenmore
36,Microwave,7,7,0,1,25,0,Whirlpool
37,Fridge,7,8,1,2,7,1,Voltas Beko
38,Smart Speaker,5,3,1,4,31,1,Sonos
39,Washing Machine,3,0,1,2,57,1,Panasonic
40,Fridge,6,9,1,3,2,1,Samsung
41,Vacuum Cleaner,5,4,1,3,38,1,Shark
42,Thermostat,7,1,0,0,5,1,Lux Products Corporation
43,Air Conditioner,5,5,1,0,14,1,Haier
44,Dishwasher,6,8,0,0,18,0,Miele
45,Smart Speaker,5,2,0,3,36,0,Sonos
46,Dishwasher,3,3,1,1,4,1,GE Appliances
47,Fridge,8,3,0,1,24,0,Hitachi
48,Microwave,4,10,0,4,13,0,Samsung
49,Induction,5,2,1,3,55,1,Bosch
50,Washing Machine,2,6,0,0,21,0,Whirlpool
51,Smart Speaker,5,9,1,3,57,0,Amazon Echo
52,Washing Machine,5,2,1,1,33,1,Siemens
53,Smart Speaker,2,10,0,1,20,0,JBL
54,Smart Speaker,1,9,1,2,5,0,JBL
55,Smart Speaker,5,9,1,2,24,1,Sony
56,Security System,6,2,0,4,35,0,Top Notch Infotronix
57,Washing Machine,4,6,1,3,30,1,Bosch
58,Induction,2,8,0,2,28,0,KitchenAid
59,Air Conditioner,5,10,0,2,53,0,Samsung
60,Smart Speaker,1,2,1,3,51,0,Apple HomePod
61,Air Conditioner,4,8,0,1,45,0,Haier
62,Security System,1,3,1,4,7,1,Matrix Comsec
63,Smart Speaker,2,2,0,4,42,0,Amazon Echo
64,Lights,2,4,1,4,35,1,Havells
65,Dishwasher,3,8,1,2,55,0,Samsung
66,Lights,1,5,0,1,30,0,Crompton
67,Security System,3,5,0,4,34,0,Godrej Security Solutions
